------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 166355
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 46922 connected with 10.0.0.3 port 5000 (ct=125.68 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  3.62 MBytes  30.4 Mbits/sec  29/0          0       28K/94858 us  40.07
[  3] 1.0000-2.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0         44      176K/73733 us  39.11
[  3] 2.0000-3.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      197K/85292 us  24.59
[  3] 3.0000-4.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      205K/90236 us  23.24
[  3] 4.0000-5.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      206K/92952 us  23.97
[  3] 5.0000-6.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      206K/93314 us  22.47
[  3] 6.0000-7.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      213K/94734 us  30.44
[  3] 7.0000-8.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      223K/96496 us  21.73
[  3] 8.0000-9.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          2      172K/88414 us  25.20
[  3] 9.0000-10.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      202K/94590 us  22.17
[  3] 10.0000-11.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      219K/100508 us  22.17
[  3] 11.0000-12.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      226K/107908 us  19.43
[  3] 12.0000-13.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          2      178K/84154 us  24.92
[  3] 13.0000-14.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      205K/97331 us  22.89
[  3] 14.0000-15.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      220K/105211 us  19.93
[  3] 15.0000-16.0000 sec  1.38 MBytes  11.5 Mbits/sec  11/0          0      226K/109453 us  13.17
[  3] 16.0000-17.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          2      169K/100159 us  22.25
[  3] 17.0000-18.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      203K/106383 us  19.71
[  3] 18.0000-19.0000 sec  1.38 MBytes  11.5 Mbits/sec  11/0          0      220K/109803 us  13.13
[  3] 19.0000-20.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      226K/109576 us  26.32
[  3] 20.0000-21.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          2      158K/86494 us  25.76
[  3] 21.0000-22.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      190K/77833 us  37.05
[  3] 22.0000-23.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      213K/85638 us  24.49
[  3] 23.0000-24.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      223K/88229 us  32.68
[  3] 24.0000-25.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      227K/89289 us  32.29
[  3] 25.0000-26.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      227K/88846 us  23.60
[  3] 26.0000-27.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      227K/89330 us  32.28
[  3] 27.0000-28.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      231K/91509 us  22.92
[  3] 28.0000-29.0000 sec  2.75 MBytes  23.1 Mbits/sec  22/0          0      241K/94709 us  30.45
[  3] 29.0000-30.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          2      199K/92300 us  24.14
[  3] 0.0000-30.2520 sec  67.2 MBytes  18.6 Mbits/sec  538/0         54       -1K/93976 us  24.80
