------------------------------------------------------------
Client connecting to 10.0.0.6, TCP port 5000 with pid 166871
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 37636 connected with 10.0.0.6 port 5000 (ct=127.55 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  8.70 MBytes  73.0 Mbits/sec  70/0          0       28K/100032 us  91.24
[  3] 1.0000-2.0000 sec  2.80 MBytes  23.5 Mbits/sec  23/0         18      875K/272692 us  10.75
[  3] 2.0000-3.0000 sec  2.49 MBytes  20.9 Mbits/sec  20/0        561      653K/124216 us  21.04
[  3] 3.0000-4.0000 sec  4.65 MBytes  39.0 Mbits/sec  38/0        446      452K/115968 us  42.08
[  3] 4.0000-5.0000 sec  3.29 MBytes  27.6 Mbits/sec  27/0        104      455K/115538 us  29.89
[  3] 5.0000-6.0000 sec  3.11 MBytes  26.1 Mbits/sec  26/0         83      452K/118050 us  27.60
[  3] 6.0000-7.0000 sec  3.42 MBytes  28.7 Mbits/sec  28/0         53      455K/117966 us  30.38
[  3] 7.0000-8.0000 sec  3.11 MBytes  26.1 Mbits/sec  26/0        145      431K/126804 us  25.69
[  3] 8.0000-9.0000 sec  2.86 MBytes  24.0 Mbits/sec  23/0        152      414K/136556 us  21.95
[  3] 9.0000-10.0000 sec  3.04 MBytes  25.5 Mbits/sec  25/0        170      390K/118096 us  27.04
[  3] 10.0000-11.0000 sec  2.73 MBytes  22.9 Mbits/sec  23/0         92      339K/109055 us  26.29
[  3] 11.0000-12.0000 sec  2.05 MBytes  17.2 Mbits/sec  17/0         79      407K/111907 us  19.21
[  3] 12.0000-13.0000 sec  2.49 MBytes  20.9 Mbits/sec  21/0        197      446K/114511 us  22.76
[  3] 13.0000-14.0000 sec  2.61 MBytes  21.9 Mbits/sec  21/0         86      359K/129837 us  21.08
[  3] 14.0000-15.0000 sec  2.42 MBytes  20.3 Mbits/sec  20/0         88      329K/115832 us  21.94
[  3] 15.0000-16.0000 sec  2.36 MBytes  19.8 Mbits/sec  20/0         57      320K/119726 us  20.68
[  3] 16.0000-17.0000 sec  2.67 MBytes  22.4 Mbits/sec  22/0         58      313K/123486 us  22.69
[  3] 17.0000-18.0000 sec  2.24 MBytes  18.8 Mbits/sec  18/0         41      246K/111319 us  21.07
[  3] 18.0000-19.0000 sec  2.17 MBytes  18.2 Mbits/sec  18/0         39      234K/108111 us  21.09
[  3] 19.0000-20.0000 sec  2.36 MBytes  19.8 Mbits/sec  20/0         22      330K/106683 us  23.21
[  3] 20.0000-21.0000 sec  1.86 MBytes  15.6 Mbits/sec  16/0         14      274K/121702 us  16.06
[  3] 21.0000-22.0000 sec   891 KBytes  7.30 Mbits/sec  7/0         57      305K/120376 us  7.58
[  3] 22.0000-23.0000 sec  2.92 MBytes  24.5 Mbits/sec  24/0        173      240K/103990 us  29.45
[  3] 23.0000-24.0000 sec   764 KBytes  6.26 Mbits/sec  6/0        109      330K/124570 us  6.28
[  3] 24.0000-25.0000 sec  2.67 MBytes  22.4 Mbits/sec  22/0         37      316K/126118 us  22.22
[  3] 25.0000-26.0000 sec  2.11 MBytes  17.7 Mbits/sec  18/0         53      319K/129827 us  17.06
[  3] 26.0000-27.0000 sec  2.05 MBytes  17.2 Mbits/sec  17/0         46      308K/120157 us  17.90
[  3] 27.0000-28.0000 sec  2.11 MBytes  17.7 Mbits/sec  18/0         20      325K/141256 us  15.68
[  3] 28.0000-29.0000 sec  1.99 MBytes  16.7 Mbits/sec  16/0         62      292K/130078 us  16.03
[  3] 29.0000-30.0000 sec  1.93 MBytes  16.2 Mbits/sec  16/0         14      308K/130089 us  15.53
[  3] 0.0000-30.1649 sec  80.9 MBytes  22.5 Mbits/sec  666/0       3076       -1K/124818 us  22.52
